state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,address,contact_person,collective_bargaining_unit
Virginia,Central Garden & Pet,"Richmond, VA",04/14/2026,04/14/2026,94,Closure,,"5701 Eastport Blvd, Richmond, VA 23231",Erin Carr,
Virginia,Voyant Beauty,"Roanoke, VA",04/10/2026,06/30/2026,95,Closure,,"4411 Plantation Road NE, Roanoke, VA 24012",Marbella Duran,
Virginia,PCA (Packaging Corporation of America),"Richmond, VA",03/31/2026,06/01/2026,109,Closure,,"2000 Richmond Highway, Richmond, VA 23224",Mark Romaniuk,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and service Workers International Union, Local No. 8-699"
Virginia,BAE Systems,"Vienna, VA",03/19/2026,03/18/2026,119,Layoff,,"47479 Holiday Drive, Sterling, VA 20166",Leriza Alcancia,
Virginia,Bering Global Solutions (BGS),"Arlington, VA",03/18/2026,06/30/2026,108,Layoff,,"701 S Courthouse Rd, Arlington, VA 22204",Kat Stevens,"Kent Emery, President, kemery@quspu.com; Lonnie Davis, Vice President, comedianl@yahoo.com; Mike Martin, Union Representative, michaeltyronema@gmail.com; John Rymes, Union Representative, johnrhymes@icloud.com"
Virginia,C2 Technologies,"McLean, VA",03/02/2026,03/06/2026,2,Layoff,,"7601 Lewinsville Road, Suite 200, McLean, VA 22102",Felicity Booker,
Virginia,Saks & Company LLC (Saks Fifth Avenue Store),"McLean, VA",03/06/2026,05/06/2026,70,Closure,,"2051 International Drive, McLean, VA 22102",Dana Schwatzenfeld,
Virginia,"Speyside Bourbon Cooperage in Virginia, Inc.","Atkins, VA",02/23/2026,04/23/2026,52,Layoff,,"6373 Lee Highway, Atkins, VA 24311",Drew Brock,
Virginia,AOL,"Reston, VA",02/17/2026,03/01/2026,108,Layoff,,"11955 Democracy Drive, 14th Floor, Reston, VA 20190",James Murphy,
Virginia,Huntington Ingall Industries (HII) Mission Technologies,"Virginia Beach, VA",02/17/2026,04/17/2026,74,Layoff,,"12730 Fair Lakes Circle, Fairfax , VA 22033",Neela Guthrie,
Virginia,JC Penney,"Springfield, VA",02/18/2026,05/29/2026,74,Closure,,"6699 Springfield Mall, Springfield, VA 22150",Kristin Bowling,
Virginia,Saks & Company LLC (Saks Fifth Avenue Store),"Richmond, VA",02/10/2026,04/11/2026,40,Closure,,"9214 Stony Point Parkway, Richmond, VA 23235",Janet Lee,
Virginia,Liberty Dental Plan Corporation,"Staunton, VA",02/05/2026,04/06/2026,0,Layoff,,"1730 Flight Way, Suite 125, Tustin, CA 92782",Robin Wiessner,
Virginia,Bahama Breeze,"Woodbridge, VA",02/03/2026,04/05/2026,62,Closure,,"2714 Potomac Mills Circle, Woodbridge, VA 22192",Megan Robinson,
Virginia,Bear Express LLC,"Norfolk & Virginia Beach, VA",01/27/2026,04/01/2026,168,Closure,,"1400 Sewells Point Road, Norfolk, VA 23502",Matthew Poulos,
Virginia,PMI-U.S. Corporate Services (Phillip Morris),"Richmond, VA",01/28/2026,04/17/2026,135,Closure,,"1021 E. Cary Street #1600, Richmond, VA 23219",Susan Woodard,
Virginia,Amazon,"Fairfax, Franconia, Lorton, Alexandria & Falls church, VA",01/28/2026,04/27/2026,691,Layoff,,"10360 Fairfax Blvd, Fairfax, VA 22030",Lindsey Winter,
Virginia,Leidos,"Ashburn, VA",01/21/2026,03/23/2026,93,Layoff,,"22001 Loudoun County Parkway, Ashburn, VA 20147",Sharday Torres,
Virginia,"Yokohama Tire Manufacturing Virginia, LLC","Salem, VA",01/16/2026,03/18/2026,533,Closure,,"1500 Indiana Street, Salem, VA 24153",Adam Bruce,"The United Steel, Paper & Forestry, Rubber, Manufacturing, Energy, Allied Industrial & Service Workers International Union, Local Union 1203. Steve Jones, chief elected officer, United Steelworkers, USW Local 1023, 116 W. Riverside Dr., Salem, VA 24153"
Virginia,SMBC Manubank,"Various, VA",01/08/2026,03/10/2026,6,Closure,,"277 Park Avenue, New York, NY 10172",Robin Milberg,
Virginia,Railcrew Xpress (RCX),"Richmond, VA",12/22/2025,02/27/2026,26,Closure,,"101 Armour Road, Suite B, North Kansas City, MO 64116",Tara Johnson,
Virginia,AeroFarms,"Ringgold, VA",03/27/2026,04/17/2026,133,Closure,,"1526 Cane Creek Parkway, Ringgold, VA 24586",Carlos Nunez,
Virginia,Giant Delivers,"Manassas, VA",12/12/2025,02/10/2026,90,Closure,,"7413 Cushing Road, Suite 160, Manassas, VA 20109",Joe Urban,"Sean M. O'Brian, General President International Brotherhood of Teamsters, Local639, 25 Louisiana Ave., NW Washington, DC2000 & Milton Jones, President, United Food & Commercial Workers International Union, Local 400, 1775 K St., NW, Washingotn, DC2006"
Virginia,Richmond Print Group,"Richmond, VA",12/09/2025,02/08/2026,76,Layoff,,"8000 Villa Park Drive, Richmond, VA 23228",Shane Hillmer,
Virginia,Fortrex,"Martinsville, VA",12/02/2025,12/05/2025,68,Layoff,,"1050 Crown Pointe Parkway, Suite 1000, Atlanta, GA 30338",Nicholas Wallace,
Virginia,"10 Roads Express, LLC","Harrisonburg, VA",12/01/2025,01/30/2026,70,Closure,,"888 Auto Motion Way, Harrisonburg, VA 22801",Aaron Gunderson,
Virginia,Harris Teeter,"Franconia, VA",11/18/2025,02/01/2026,91,Closure,,"6306 Gravel Avenue, Franconia, VA 22310",Angie Danielewicz,
Virginia,Amazon-BWI1,"Sterling, VA",11/14/2025,01/30/2026,247,Closure,,"45121 Global Plaza, Sterling, VA 20166",Lindsay Winter,
Virginia,"Diamond Transportation Services, Inc.","Springfield, VA",11/07/2025,11/30/2025,61,Closure,,"6851 Industrial Road, Springfield, VA 22151",Jahaira Zagarell,"Amalgamated Transit Union Local 689 (“ATU 689”) 2701 Whitney Place, Forestville, MD 20747. Raymond Jackson, agent/president email: rjackson@atu689.org or International Brotherhood Teamsters Local 639 (“IBT 639”) 3100 Ames Place N.E., Washington, D.C. 20018. Ronald Davis, agent email: davis@local639.org"
Virginia,"Wellmore Energy Compny, LLC","Big Rock, VA",10/31/2025,12/31/2025,9,Layoff,,"1073 Riverview Street, Grundy, VA 24616",Gary Prater,
Virginia,Qbase LLC,"Reston, VA",10/31/2025,12/30/2025,60,Closure,,"11950 Democracy Drive, Reston, VA 20190",Davida Gray,
