state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,NAICS  Code,Local Area,Total  Employees,Effective  Date,COUNTY_NAME,WDA_NAME,WFDD_RECEIVED_DATE,zip,lwib_area,address,contact_person,collective_bargaining_unit,type_detail
Alaska,"Chugach Training & Educational Solutions, LLC (CTESL)",Palmer,6/2/25,6/30/25,110,,Loss of Contract,,,,,,,,,,,,,
Alaska,"Vigor Alaska, LLC",Ketchikan,5/7/25,Begins 7/7/25 and will be staggered until official closure on 11/30/25,72,,Closure,,,,,,,,,,,,,
Alaska,"RavnAir Group, Corvus Airlines, Hageland Aviation Services and Peninsula Aviation Services","Anchorage and 20 smaller Alaska communities, plus Boston, Mass.",9/30/20*,8/7/20,"1,234",,COVID-19; permanent,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,,,,,,,
DC,Elior North America,,"February 2, 2026","June 30, 2026",76,1,,,,,,,,,,,,,,
DC,WP Company LLC,,"February 6, 2026","April 10, 2026",277,1,,,,,,,,,,,,,,
DC,Albertson's/Safeway,,"March 13, 2026",TBD,87,2,,,,,,,,,,,,,,
DC,"Bering Global Solutions, LLC",,"March 13, 2026","March 31, 2026",108,1,,,,,,,,,,,,,,
DC,General Dynamics Information Technology,,"April 17, 2026","June 15, 2026",87,1,,,,,,,,,,,,,,
DC,"Golden Services, LLC",,"January 1, 2025","January 31, 2025",43,2,,,,,,,,,,,,,,
DC,"Freedom House, Inc",,"February 14, 2025","April 15, 2025",76,1,,,,,,,,,,,,,,
DC,United Medical Center,,"February 20, 2025","Various Dates through September 30, 2025",485,2,,,,,,,,,,,,,,
DC,ACDI VOCA,,"March 6, 2025","April 2, 2025",109,1,,,,,,,,,,,,,,
DC,Dexis Consulting Group,,"March 10, 2025","March 14, 2025 through April 30, 2025",94,1,,,,,,,,,,,,,,
DC,IREX,,"March 11, 2025","March 3, 2025",130,1,,,,,,,,,,,,,,
DC,Save the Children,,"March 13, 2025","February 28 and March 7 & 14, 2025",116,1,,,,,,,,,,,,,,
DC,Institute of International Education,,"March 13, 2025","Various Dates through May 16, 2026",95,1,,,,,,,,,,,,,,
DC,Chemonics,,"March 14, 2025","Various Dates through May 30, 2025",500,1,,,,,,,,,,,,,,
DC,Cointerpart International,,"March 28, 2025","March 28 through May 31, 2025",64,1,,,,,,,,,,,,,,
