state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,COUNTY_NAME,WDA_NAME,WFDD_RECEIVED_DATE
Texas,Macy's - Houston (Almeda),Houston,01/15/2025,03/18/2025,72.0,,,Harris,Gulf Coast WDA,01/15/2025
Texas,RR Donnelley,Nacogdoches,01/14/2025,03/15/2025,88.0,,,Nacogdoches,Deep East Texas WDA,01/14/2025
Texas,"COSMAX NBT USA, INC #1",Garland,01/14/2025,02/28/2025,80.0,,,Dallas,Dallas County WDA,01/14/2025
Texas,"Scentsy, Inc.",Coppell,01/09/2025,03/01/2025,94.0,,,Dallas,Dallas County WDA,01/09/2025
Texas,Commanche Peak Nuclear Power Plant,Glen Rose,01/08/2025,01/31/2025,86.0,,,Somervell,North Central Texas WDA,01/08/2025
Texas,Crothall Healthcare-Houston,Houston,01/08/2025,12/15/2024,69.0,,,Harris,Gulf Coast WDA,01/08/2025
Texas,"ICON Technology, Inc.",Austin,01/07/2025,03/08/2025,114.0,,,Travis,Capital Area WDA,01/07/2025
Texas,Animal Supply Co. LLC,Grand Prairie,02/11/2025,02/21/2025,145.0,,,Tarrant,Tarrant County WDA,02/11/2025
Texas,Catholic Charities of Dallas (Refuge Resettlement Program),Dallas,02/11/2025,02/11/2025,63.0,,,Dallas,Dallas County WDA,02/11/2025
Texas,Propio Language Services,San Antonio,02/11/2025,02/11/2025,40.0,,,Bexar,Alamo WDA,02/11/2025
Texas,Catholic Charities Archdiocese Of Galveston-Houston (Louisiana Street),Houston,02/10/2025,02/07/2025,11.0,,,Harris,Gulf Coast WDA,02/10/2025
Texas,Catholic Charities Archdiocese Of Galveston-Houston (Smith Street),Houston,02/10/2025,02/07/2025,43.0,,,Harris,Gulf Coast WDA,02/10/2025
Texas,Catholic Charities Archdiocese Of Galveston-Houston (Bering Drive),Houston,02/10/2025,02/07/2025,58.0,,,Harris,Gulf Coast WDA,02/10/2025
Texas,Catholic Charities Archdiocese Of Galveston-Houston (San Felipe),Houston,02/10/2025,02/07/2025,8.0,,,Harris,Gulf Coast WDA,02/10/2025
Texas,Syzygy Plasmonics,Houston,02/05/2025,03/31/2025,58.0,,,Harris,Gulf Coast WDA,02/05/2025
Texas,Syzygy Plasmonics (Kirby),Houston,02/05/2025,03/31/2025,10.0,,,Harris,Gulf Coast WDA,02/05/2025
Texas,"LX Pantos America, Inc.",Fort Worth,02/05/2025,04/04/2025,131.0,,,Tarrant,Tarrant County WDA,02/05/2025
Texas,Pathlight Property Management (OPVHHJV LLC),Plano,02/05/2025,03/31/2025,192.0,,,Collin,North Central Texas WDA,02/05/2025
Texas,Hll Mission Technologies(Administrative Office of the US Courts (AOUSC),San Antonio,02/05/2025,03/31/2025,56.0,,,Bexar,Alamo WDA,02/05/2025
Texas,One TouchPoint,Austin,01/30/2025,01/31/2025,43.0,,,Travis,Capital Area WDA,01/30/2025
Texas,S & B Engineers and Constructors (Eastman),Longview,01/29/2025,03/28/2025,43.0,,,Gregg,East Texas WDA,01/29/2025
Texas,Allied Aviation-Southlake,Southlake,01/29/2025,03/31/2025,362.0,,,Tarrant,Tarrant County WDA,01/29/2025
Texas,Manpower Group (Irving),Irving,01/29/2025,03/28/2025,173.0,,,Dallas,Dallas County WDA,01/29/2025
Texas,"Construction Specialties Platforn Holdings, LLC",Denton,01/27/2025,03/31/2025,89.0,,,Denton,North Central Texas WDA,01/27/2025
Texas,"Chalk Mountain Services of Texas of Texas, LLC (Pleasanton)",Pleasanton,01/21/2025,02/02/2025,1.0,,,Atascosa,Alamo WDA,01/21/2025
Texas,Grocery Delivery E Services USA DBA Hello Fresh (Tarrant),Grand Prairie,03/12/2025,05/13/2025,273.0,,,Tarrant,Tarrant County WDA,03/12/2025
Texas,Constellis LLC (Laredo Border Station),Laredo,03/12/2025,03/07/2025,121.0,,,Webb,South Texas WDA,03/12/2025
Texas,Constellis LLC (Laredo #2),Laredo,03/12/2025,03/07/2025,30.0,,,Webb,South Texas WDA,03/12/2025
Texas,Chewy Inc. Fullfillment Center,Dallas,03/12/2025,05/10/2025,674.0,,,Dallas,Dallas County WDA,03/12/2025
Texas,"De La Paz Cleaning and Rental Services, LLC (Laredo)",Laredo,03/12/2025,03/07/2025,142.0,,,Webb,South Texas WDA,03/12/2025
Texas,Country Pure Foods,Houston,03/12/2025,05/09/2025,60.0,,,Harris,Gulf Coast WDA,03/12/2025
Texas,Interfaith Ministries Of Greater Houston (Refugee Services Program),Houston,03/11/2025,03/14/2025,101.0,,,Harris,Gulf Coast WDA,03/11/2025
Texas,"De La Paz Cleaning and Rental Services, LLC (North Eagle Pass)",Eagle Pass,03/11/2025,03/03/2025,60.0,,,Maverick,Middle Rio Grande WDA,03/11/2025
Texas,"De La Paz Cleaning and Rental Services, LLC (Donna)",Donna,03/11/2025,03/07/2025,125.0,,,Hidalgo,Lower Rio Grande Valley WDA,03/11/2025
Texas,"Centerra (Constellis, LLC)",McAllen,03/11/2025,03/07/2025,23.0,,,Hidalgo,Lower Rio Grande Valley WDA,03/11/2025
Texas,"Catholic Charities, Diocese of Fort Worth, INC",Fort Worth,03/10/2025,03/14/2025,169.0,,,Tarrant,Tarrant County WDA,03/10/2025
Texas,Ryder -Hutchins,Hutchins,03/06/2025,05/10/2025,110.0,,,Dallas,Dallas County WDA,03/06/2025
Texas,"Hatco, Inc",Longview,03/06/2025,02/27/2025,68.0,,,Gregg,East Texas WDA,03/06/2025
Texas,Pure Safety Group Inc. DBA Guardian Fall,Houston,03/05/2025,03/20/2025,59.0,,,Harris,Gulf Coast WDA,03/05/2025
Texas,"LUKE Holdings, Inc. (Del Rio)",Del Rio,03/05/2025,02/28/2025,36.0,,,Val Verde,Middle Rio Grande WDA,03/05/2025
Texas,"LUKE Holdings, Inc. (Donna)",Donna,03/05/2025,02/28/2025,201.0,,,Hidalgo,Lower Rio Grande Valley WDA,03/05/2025
Texas,"LUKE Holdings, Inc (Eagle Pass)",Eagle Pass,03/05/2025,02/28/2025,129.0,,,Maverick,Middle Rio Grande WDA,03/05/2025
Texas,JELD -WEN -Coppell,Coppell,03/03/2025,04/28/2025,56.0,,,Dallas,Dallas County WDA,03/03/2025
Texas,"LUKE Holdings, Inc.(Laredo)",Laredo,03/03/2025,02/28/2025,73.0,,,Webb,South Texas WDA,03/03/2025
Texas,"LUKE Holdings, Inc. (El Paso)",El Paso,03/03/2025,02/28/2025,227.0,,,El Paso,Borderplexjobs WDA,03/03/2025
Texas,MVM,El Paso,02/26/2025,03/18/2025,247.0,,,El Paso,Borderplexjobs WDA,02/26/2025
Texas,"MVM, Inc. (McAllen)",McAllen,02/26/2025,03/18/2025,132.0,,,Hidalgo,Lower Rio Grande Valley WDA,02/26/2025
Texas,Houston Refining LP (2025),Houston,02/25/2025,04/17/2025,345.0,,,Harris,Gulf Coast WDA,02/25/2025
Texas,Christus Health Santa Rosa Medical Center,San Antonio,02/24/2025,04/25/2025,479.0,,,Bexar,Alamo WDA,02/24/2025
Texas,L3Harris Technologies (JAVA MAN Program),Rockwall,02/24/2025,04/22/2025,179.0,,,Rockwall,North Central Texas WDA,02/24/2025
Texas,Southwest - Dallas Lovefield Airport,Dallas,02/19/2025,04/22/2025,626.0,,,Dallas,Dallas County WDA,02/19/2025
Texas,Neiman Marcus-One Marcus Square,Dallas,02/19/2025,03/31/2025,1.0,,,Dallas,Dallas County WDA,02/19/2025
Texas,Raices,San Antonio,02/18/2025,02/12/2025,61.0,,,Bexar,Alamo WDA,02/18/2025
Texas,"Graphic Solutions, Inc. (Spring Valley)",Dallas,04/23/2025,06/13/2025,64.0,,,Dallas,Dallas County WDA,04/23/2025
Texas,"Graphic Solutions, Inc (Welch Rd)",Dallas,04/23/2025,06/13/2025,2.0,,,Dallas,Dallas County WDA,04/23/2025
Texas,Graphic Solutuions Inc. (Farmers Branch),Farmers Branch,04/23/2025,06/13/2025,5.0,,,Dallas,Dallas County WDA,04/23/2025
Texas,MedStar Mobile Healthcare,Fort Worth,04/16/2025,07/01/2025,589.0,,,Tarrant,Tarrant County WDA,04/16/2025
Texas,Virtex Enterprises LP,Austin,04/16/2025,06/14/2025,84.0,,,Travis,Capital Area WDA,04/16/2025
Texas,Catholic Charities Archdiocese Of Galveston-Houston (Cabrini CFLA)San Felipe,Houston,04/08/2025,03/31/2025,36.0,,,Harris,Gulf Coast WDA,04/08/2025
Texas,Catholic Charities Archdiocese Of Galveston-Houston (Cabrini CFLA)Louisiana Street,Houston,04/08/2025,,6.0,,,Harris,Gulf Coast WDA,04/08/2025
Texas,Catholic Charities Archdiocese Of Galveston-Houston (Cabrini CFLA)Collins Road,Richmond,04/08/2025,03/31/2025,2.0,,,Fort Bend,Gulf Coast WDA,04/08/2025
Texas,Catholic Charities Archdiocese Of Galveston-Houston (Cabrini CFLA)South Loop West,Houston,04/08/2025,03/31/2025,1.0,,,Harris,Gulf Coast WDA,04/08/2025
Texas,US Cellular Corporation,Wichita Falls,04/08/2025,06/02/2025,1.0,,,Archer,Heart of Texas WDA,04/08/2025
Texas,"Movate, Inc.",Temple,04/08/2025,05/31/2025,51.0,,,Bell,North Central Texas WDA,04/08/2025
Texas,Raices (April 2025),San Antonio,04/08/2025,04/02/2025,159.0,,,Bexar,Alamo WDA,04/08/2025
Texas,Southeast Service Corporation Services for Education (Georgetown ISD),Georgetown,04/02/2025,05/31/2025,60.0,,,Williamson,,04/02/2025
Texas,Envision Physician Services LLC,San Antonio,04/02/2025,05/31/2025,120.0,,,Bexar,Alamo WDA,04/02/2025
Texas,Denali,Plano,04/02/2025,06/02/2025,28.0,,,Collin,North Central Texas WDA,04/02/2025
Texas,VF's Dickies Headquarters,Fort Worth,03/26/2025,05/30/2025,125.0,,,Tarrant,Tarrant County WDA,03/26/2025
Texas,American Bar Association (ProBAR),Harlingen,03/26/2025,05/19/2025,191.0,,,Cameron,Cameron County WDA,03/26/2025
Texas,Waco Family Medicine (Meyer Center),Waco,03/26/2025,03/21/2025,52.0,,,McLennan,Heart of Texas WDA,03/26/2025
Texas,SouthState Bank,McKinney,03/26/2025,05/31/2025,141.0,,,Collin,North Central Texas WDA,03/26/2025
Texas,Durhan School Services-Wichita Falls,Wichita Falls,03/26/2025,06/30/2025,1.0,,,Archer,North Texas WDA,03/26/2025
Texas,Waco Family Medicine (Bell's Hill),Waco,03/26/2025,03/21/2025,52.0,,,McLennan,Heart of Texas WDA,03/26/2025
Texas,Waco Familly Medicine (MCC),Waco,03/26/2025,03/21/2025,52.0,,,McLennan,Heart of Texas WDA,03/26/2025
Texas,"BH Security, LLC DBA Brinks Home",Dallas,03/19/2025,06/30/2025,61.0,,,Dallas,Dallas County WDA,03/19/2025
Texas,"Church World Service, Inc.",Houston,03/18/2025,02/03/2025,63.0,,,Harris,Gulf Coast WDA,03/18/2025
Texas,"C&S Family of Companies (GSC Wholesale, LLC)",Houston,03/17/2025,03/14/2025,21.0,,,Harris,Gulf Coast WDA,03/17/2025
Texas,Texana Center (Building A) Airport Service Center,Rosenberg,05/28/2025,05/21/2025,27.0,,,Fort Bend,Gulf Coast WDA,05/28/2025
Texas,Texana Center (Building B) Airport Service Center,Rosenberg,05/28/2025,05/21/2025,25.0,,,Fort Bend,Gulf Coast WDA,05/28/2025
Texas,Texana Center El Campo Learning Center,El Campo,05/28/2025,05/21/2025,9.0,,,Wharton,Gulf Coast WDA,05/28/2025
Texas,Texana Center Glenn Lakes Group Home,Missouri City,05/28/2025,05/21/2025,7.0,,,Fort Bend,Gulf Coast WDA,05/28/2025
Texas,Texana Center North Street Group Home,Rosenberg,05/28/2025,05/21/2025,7.0,,,Fort Bend,Gulf Coast WDA,05/28/2025
Texas,Texana Center Aqua Vista Group,Rosenberg,05/28/2025,05/21/2025,4.0,,,Fort Bend,Heart of Texas WDA,05/28/2025
Texas,Texana Center Russeff Filed  Home,Rosenberg,05/28/2025,05/21/2025,5.0,,,Fort Bend,Gulf Coast WDA,05/28/2025
Texas,Texana Center Dovecoft Group Home,Rosenberg,05/28/2025,05/21/2025,6.0,,,Fort Bend,Gulf Coast WDA,05/28/2025
Texas,Texana Center Camden Landing Group Home,Rosenberg,05/28/2025,05/21/2025,5.0,,,Fort Bend,Gulf Coast WDA,05/28/2025
Texas,Texana Center Sunset Group Home,Wharton,05/28/2025,05/21/2025,8.0,,,Wharton,Gulf Coast WDA,05/28/2025
Texas,Texana Center Willowbend Group Home,Wharton,05/28/2025,05/21/2025,6.0,,,Wharton,Gulf Coast WDA,05/28/2025
Texas,Texana Center University Group Home,Wharton,05/28/2025,05/21/2025,5.0,,,Wharton,Gulf Coast WDA,05/28/2025
Texas,Texana Center Maude Group Home,Wharton,05/28/2025,05/21/2025,4.0,,,Wharton,Gulf Coast WDA,05/28/2025
Texas,LACROIX,El Paso,05/27/2025,07/01/2025,7.0,,,El Paso,Borderplexjobs WDA,05/27/2025
Texas,Child Care Associates,Ft. Worth,05/21/2025,06/30/2025,93.0,,,Tarrant,Tarrant County WDA,05/21/2025
Texas,Child Care Associates (Tucker),Arlington,05/21/2025,06/30/2025,7.0,,,Tarrant,Tarrant County WDA,05/21/2025
Texas,Child Care Associates (Linda Kay),Hurst,05/21/2025,06/30/2025,15.0,,,Tarrant,Tarrant County WDA,05/21/2025
Texas,Child Care Associates (Mansfield),Mansfield,05/21/2025,06/30/2025,15.0,,,Tarrant,Tarrant County WDA,05/21/2025
Texas,Child Care Associates (Carson),Fort Worth,05/21/2025,05/21/2025,14.0,,,Tarrant,Tarrant County WDA,05/21/2025
Texas,Child Care Associates (Meachum),Fort Worth,05/21/2025,06/30/2025,15.0,,,Tarrant,Tarrant County WDA,05/21/2025
Texas,Child Care Associates (Reagan),Fort Worth,05/21/2025,06/30/2025,14.0,,,Tarrant,Tarrant County WDA,05/21/2025
Texas,Child Care Associates (Rosedale V),Fort Worth,05/21/2025,06/30/2025,16.0,,,Tarrant,Tarrant County WDA,05/21/2025
Texas,Child Care Associates (Diamond Road),Fort Worth,05/21/2025,06/30/2025,13.0,,,Tarrant,Tarrant County WDA,05/21/2025
Texas,Child Care Associates (Morris Foundation),Fort Worth,05/21/2025,06/30/2025,17.0,,,Tarrant,Tarrant County WDA,05/21/2025
Texas,Child Care Associates(North Fort Worth),Fort Worth,05/21/2025,06/30/2025,16.0,,,Tarrant,Tarrant County WDA,05/21/2025
Texas,Child Care Associates (Blanche),Fort Worth,05/21/2025,06/30/2025,17.0,,,Tarrant,Tarrant County WDA,05/21/2025
Texas,Child Care Associates (Arlington 2),Arlington,05/21/2025,06/30/2025,22.0,,,Tarrant,Tarrant County WDA,05/21/2025
Texas,Child Care Associates (JA Hargrave),Fort Worth,05/21/2025,06/30/2025,19.0,,,Tarrant,Tarrant County WDA,05/21/2025
Texas,Child Care Associates (Everman),Fort Worth,05/21/2025,06/30/2025,9.0,,,Tarrant,Tarrant County WDA,05/21/2025
Texas,Sodexo (International Leadership TX),Irving,05/21/2025,06/30/2025,165.0,,,Dallas,Dallas County WDA,05/21/2025
Texas,F&S Produce West LLC,Houston,05/21/2025,07/20/2025,225.0,,,Harris,Gulf Coast WDA,05/21/2025
Texas,FedEx Supply Chain Logistics & Electronics (Ft. Worth),Fort Worth,05/20/2025,07/06/2025,305.0,,,Tarrant,Tarrant County WDA,05/20/2025
Texas,Chevron (Deauville Blvd),Midland,05/16/2025,07/15/2025,185.0,,,Midland,Permian Basin WDA,05/28/2025
Texas,Chevron (S. County Rd.),Midland,05/16/2025,07/15/2025,1.0,,,Midland,Permian Basin WDA,05/28/2025
Texas,Chevron (N. FM 1788),Midland,05/16/2025,07/15/2025,14.0,,,Midland,Permian Basin WDA,05/28/2025
Texas,International Paper Company(Edinburg),Edinburg,05/14/2025,05/09/2025,63.0,,,Hidalgo,Lower Rio Grande Valley WDA,05/14/2025
Texas,International Paper Company (Edinburg W. Chapin),Edinburg,05/14/2025,05/09/2025,64.0,,,Hidalgo,Lower Rio Grande Valley WDA,05/14/2025
Texas,International Paper Company (McAllen),McAllen,05/14/2025,05/09/2025,5.0,,,Hidalgo,Lower Rio Grande Valley WDA,05/14/2025
Texas,Atria Wealth Solutions,Houston,05/14/2025,07/04/2025,55.0,,,Fort Bend,Gulf Coast WDA,05/14/2025
Texas,Museum of Ice Cream,Austin,05/08/2025,07/10/2025,38.0,,,Travis,Capital Area WDA,05/08/2025
Texas,WSS (Foot Locker),Houston,05/08/2025,07/07/2025,57.0,,,Harris,Gulf Coast WDA,05/08/2025
Texas,TRIGO (Tesla),Austin,05/07/2025,04/28/2025,50.0,,,Travis,Capital Area WDA,05/07/2025
Texas,Smurfikt Westrock Facility (ForneyTexas),Forney,05/06/2025,06/30/2025,200.0,,,Kaufman,North Central Texas WDA,05/06/2025
Texas,Tom Thumb Store #3579,Allen,05/06/2025,,75.0,,,Collin,North Central Texas WDA,05/06/2025
Texas,Chick-Fil-A (N. Collins St. Plant),Arlington,05/01/2025,06/07/2025,10.0,,,Tarrant,Tarrant County WDA,05/01/2025
Texas,PULAU Corporation,Killeen,04/30/2025,06/30/2025,64.0,,,Bell,Central Texas WDA,04/30/2025
Texas,Texas Central School Bus (Purnell),Lewisville,04/30/2025,07/17/2025,174.0,,,Denton,,04/30/2025
Texas,Texas Central School Bus (Mill),Lewisville,04/30/2025,07/15/2025,131.0,,,Denton,North Central Texas WDA,04/30/2025
Texas,Texas Central School Bus (Cougar Alley),The Colony,04/30/2025,07/15/2025,155.0,,,Denton,North Central Texas WDA,04/30/2025
Texas,"Compass Group, Inc.d.b.a.Chartwells (Lancaster ISD)",Lancaster,06/24/2025,06/30/2025,83.0,,,Dallas,Dallas County WDA,06/24/2025
Texas,Management & Training Corporation (Willacy County State Jail),Raymondville,06/24/2025,08/31/2025,166.0,,,Willacy,Lower Rio Grande Valley WDA,06/24/2025
Texas,Management & Training Corporation (Lindsey State Jail),Jacksboro,06/24/2025,08/31/2025,117.0,,,Jack,North Texas WDA,06/24/2025
Texas,Management & Training Corporation (Kyle Correctional Center),Kyle,06/24/2025,08/31/2025,98.0,,,Hays,Rural Capital WDA,06/24/2025
Texas,Management & Training Corporation (Gregory S. Coleman Unit),Lockhart,06/24/2025,08/31/2025,135.0,,,Caldwell,Rural Capital WDA,06/24/2025
Texas,Management & Training Corporation (Bridgeport Correctional Facility),Bridgeport,06/24/2025,08/31/2025,103.0,,,Wise,North Central Texas WDA,06/24/2025
Texas,Management & Training Corp. (Billy Moore Correctional Center),Overton,06/20/2025,08/31/2025,109.0,,,Rusk,East Texas WDA,06/20/2025
Texas,Management & Training Corp. (Bradshaw State Jail),Henderson,06/20/2025,08/31/2025,172.0,,,Rusk,East Texas WDA,06/20/2025
Texas,"Encino Energy, LLC",Houston,06/18/2025,08/17/2025,121.0,,,Harris,Gulf Coast WDA,06/18/2025
Texas,Tyson Foods (Fort Worth Distribution Center),Fort Worth,06/18/2025,08/15/2025,275.0,,,Tarrant,Tarrant County WDA,06/18/2025
Texas,"Khoros, LLC.",Austin,06/18/2025,08/19/2025,116.0,,,Travis,Capital Area WDA,06/18/2025
Texas,Lockheed Martin Corp. -Fort Bliss ATMP,Fort Bliss,06/17/2025,06/30/2025,17.0,,,El Paso,Borderplexjobs WDA,06/17/2025
Texas,Tom Thumb Store #3645 Plano,Plano,06/11/2025,07/26/2025,75.0,,,Collin,North Central Texas WDA,06/11/2025
Texas,Randalls Store #1041,Houston,06/11/2025,08/16/2025,102.0,,,Harris,Gulf Coast WDA,06/11/2025
Texas,Movate Inc. (The Genesis Project),Temple,06/11/2025,08/08/2025,26.0,,,Bell,Central Texas WDA,06/11/2025
Texas,XiFin,Austin,06/04/2025,05/29/2025,87.0,,,Travis,Capital Area WDA,06/04/2025
Texas,Eckerd Connects (David Carrasco Job Corps),El Paso,06/04/2025,06/13/2025,77.0,,,El Paso,Borderplexjobs WDA,06/04/2025
Texas,Sunnova Energy Corporation,Houston,06/03/2025,05/30/2025,,,,Harris,Gulf Coast WDA,06/03/2025
Texas,JC Penney (Allaince Supply Chain),Haslet,06/03/2025,08/01/2025,296.0,,,Tarrant,Tarrant County WDA,06/03/2025
Texas,Trinity Rail-Trinity Tank Car-Jordan Valley,Longview,07/30/2025,09/30/2025,170.0,,,Gregg,East Texas WDA,07/30/2025
Texas,"Equus Workforce Solutions Arlington (Arbor E&T, LLC)",Arlington,07/30/2025,09/30/2025,4.0,,,Tarrant,North Central Texas WDA,07/30/2025
Texas,"Equus Workforce Solutions Denton (Arbor E&T, LLC)",Denton,07/30/2025,09/30/2025,27.0,,,Denton,North Central Texas WDA,07/30/2025
Texas,Peraton Balloon Operations (NASA),Palestine,07/23/2025,09/30/2025,81.0,,,Anderson,East Texas WDA,07/23/2025
Texas,SM Cargo,Houston,07/21/2025,09/21/2025,194.0,,,Harris,Gulf Coast WDA,07/21/2025
Texas,Chevron Corporation (HESS Corporation),Houston,07/21/2025,09/26/2025,575.0,,,Harris,Gulf Coast WDA,07/21/2025
Texas,"AMERICA, INC., d/b/a LIXIL",Grand Prairie,07/16/2025,09/08/2025,65.0,,,Tarrant,Tarrant County WDA,07/16/2025
Texas,"Sodexo, Inc.and Affiliates (Texas Southern University)",Houston,07/10/2025,07/31/2025,81.0,,,Harris,Gulf Coast WDA,07/10/2025
Texas,International Paper Company(N. Closner Blvd.),Edinburg,07/10/2025,09/01/2025,66.0,,,Hidalgo,Lower Rio Grande Valley WDA,07/10/2025
Texas,International Paper Company(W. Chaplin),Edinburg,07/10/2025,09/01/2025,66.0,,,Hidalgo,Lower Rio Grande Valley WDA,07/10/2025
Texas,International Paper Company(N. 26th),Edinburg,07/10/2025,09/01/2025,5.0,,,Hidalgo,Lower Rio Grande Valley WDA,07/10/2025
Texas,"GI Alliance Management, LLC",Southlake,07/09/2025,09/01/2025,25.0,,,Denton,Tarrant County WDA,07/09/2025
Texas,Intel Corporation,Austin,07/09/2025,07/15/2025,110.0,,,Travis,Capital Area WDA,07/09/2025
Texas,Management & Training Corporation (Dominguez State Jail),San Antonio,07/09/2025,08/31/2025,8.0,,,Bexar,Alamo WDA,07/09/2025
Texas,Management & Training Corporation (Gist State Jail),Beaumont,07/09/2025,08/31/2025,6.0,,,Jefferson,South East Texas WDA,07/09/2025
Texas,Management & Training Corporation (Hutchins State Jail),Dallas,07/09/2025,08/31/2025,8.0,,,Dallas,Dallas County WDA,07/09/2025
Texas,Management & Training Corporation (Lychner State Jail),Humble,07/09/2025,08/31/2025,17.0,,,Harris,Gulf Coast WDA,07/09/2025
Texas,Management & Training Corporation (Plane State Jail),Dayton,07/09/2025,08/31/2025,8.0,,,Liberty,Gulf Coast WDA,07/09/2025
Texas,Management & Training Corporation (Travis County State Jail),Austin,07/09/2025,08/31/2025,4.0,,,Travis,Capital Area WDA,07/09/2025
Texas,"Movate, Inc. (AT&T Project)",Temple,07/08/2025,07/01/2025,71.0,,,Bell,Central Texas WDA,07/08/2025
Texas,International Business Machines-Coppell,Coppell,07/02/2025,08/29/2025,59.0,,,Dallas,Dallas County WDA,07/02/2025
Texas,Fed Ex Corporation (Garland),Garland,07/02/2025,09/01/2025,81.0,,,Dallas,Dallas County WDA,07/02/2025
Texas,Santa Maria Hostel,Houston,07/02/2025,08/31/2025,41.0,,,Harris,Gulf Coast WDA,07/02/2025
Texas,FedEx Corporation (Plano),Plano,07/02/2025,09/01/2025,50.0,,,Collin,North Central Texas WDA,07/02/2025
Texas,Memorial Herman Health System Skilled Nursing Facility,Houston,07/02/2025,09/01/2025,83.0,,,Harris,Gulf Coast WDA,07/02/2025
Texas,TT Electronics Facility IRC (Plano),Plano,07/02/2025,08/31/2025,75.0,,,Collin,North Central Texas WDA,07/02/2025
Texas,MPW Services,Austin,08/27/2025,09/01/2025,82.0,,,Travis,Capital Area WDA,08/27/2025
Texas,"Tech Werks, LLC (San Antonio)",San Antonio,08/20/2025,09/15/2025,87.0,,,Bexar,Alamo WDA,08/20/2025
Texas,"Promises Behavioral Health, LLC",Wimberley,08/18/2025,10/17/2025,58.0,,,Hays,Rural Capital WDA,08/18/2025
Texas,"CarOffer, LLC",Addison,08/13/2025,10/06/2025,101.0,,,Dallas,Dallas County WDA,08/13/2025
Texas,UPS (Dallas Facility),Dallas,08/06/2025,08/05/2025,62.0,,,Dallas,Dallas County WDA,08/06/2025
Texas,"Solarcycle, Inc.",Odessa,08/06/2025,10/06/2025,70.0,,,Ector,Permian Basin WDA,08/06/2025
Texas,"Southwest Key Programs, Inc. (SWK National Headquarters)",Austin,08/06/2025,10/06/2025,45.0,,,Travis,Capital Area WDA,08/06/2025
Texas,"Southwest Key Programs, Inc. La Esperanza)",Brownsville,08/06/2025,10/05/2025,4.0,,,Cameron,Cameron County WDA,08/06/2025
Texas,"Southwest Key Programs, Inc.(Casa Nueva Esperanza)",Brownsville,08/06/2025,10/05/2025,9.0,,,Cameron,Cameron County WDA,08/06/2025
Texas,"Southwest Key Programs, Inc.(South Texas HQ)",Brownsville,08/06/2025,10/05/2025,13.0,,,Cameron,Cameron County WDA,08/06/2025
Texas,"Southwest Key Programs, Inc. (Casa Franklin)",El Paso,08/06/2025,10/05/2025,1.0,,,El Paso,Borderplexjobs WDA,08/06/2025
Texas,"Southwest Key Programs, Inc. (Casa Norma Linda)",Los Fresnos,08/06/2025,10/05/2025,3.0,,,Cameron,Cameron County WDA,08/06/2025
Texas,"Southwest Key Programs, Inc. (Casa Rio Grande)",San Benito,08/06/2025,10/05/2025,3.0,,,Cameron,Cameron County WDA,08/06/2025
Texas,"Southwest Key Programs, Inc. (Casa Canutillo)",Canutillo,08/06/2025,10/05/2025,3.0,,,El Paso,Borderplexjobs WDA,08/06/2025
Texas,"Equus Workforce Solutions Houston Opertions- Acres Home (Arbor E&T, LLC)",Houston,08/01/2025,09/30/2025,12.0,,,Harris,Gulf Coast WDA,08/01/2025
Texas,"Equus Workforce Solutions Houston Opertions- Pearland (Arbor E&T, LLC)",Pearland,08/01/2025,09/30/2025,13.0,,,Brazoria,Gulf Coast WDA,08/01/2025
Texas,"Equus Workforce Solutions Houston Opertions- Westheimer Rd. (Arbor E&T, LLC)",Houston,08/01/2025,09/30/2025,28.0,,,Harris,Gulf Coast WDA,08/01/2025
Texas,"Equus Workforce Solutions-Camp Wisdom (Arbor E&T, LLC)",Dallas,07/31/2025,09/30/2025,1.0,,,Dallas,Dallas County WDA,07/31/2025
